PlayerVelocity,CurrentMood, Jumping, Sprinting, Health, PlayerLocationX, PlayerLocationY
594.83,EAudioMood::Calm, 0, 0, 100.00, 985.52, 875.95
600.00,EAudioMood::Calm, 0, 0, 100.00, 904.26, 1832.33
1200.00,EAudioMood::Tense, 0, 1, 100.00, 764.04, 3052.93
1176.57,EAudioMood::Tense, 0, 1, 100.00, 1745.70, 1829.92
1200.00,EAudioMood::Action, 0, 1, 100.00, 3798.72, 1922.26
600.00,EAudioMood::Action, 0, 0, 100.00, 4523.93, 2512.49
600.00,EAudioMood::Action, 0, 0, 100.00, 4286.68, 1336.49
600.00,EAudioMood::Action, 0, 0, 100.00, 4652.37, 740.99
600.00,EAudioMood::Action, 0, 0, 100.00, 4621.48, 1931.83
638.04,EAudioMood::Action, 1, 0, 100.00, 4023.79, 2453.92
603.06,EAudioMood::Action, 1, 0, 100.00, 4216.51, 1388.55
1200.00,EAudioMood::Action, 0, 1, 100.00, 4019.25, 671.34
1200.74,EAudioMood::Action, 1, 1, 100.00, 4717.83, 2813.98
1200.00,EAudioMood::Action, 0, 1, 100.00, 4554.46, 1421.66
600.00,EAudioMood::Action, 0, 0, 100.00, 4170.48, 1272.74
600.00,EAudioMood::Calm, 0, 0, 100.00, 3371.26, 2022.68
634.13,EAudioMood::Tense, 0, 1, 100.00, 2212.83, 1718.16
1200.00,EAudioMood::Tense, 0, 1, 100.00, 553.58, 1193.02
1269.47,EAudioMood::Tense, 1, 1, 100.00, 1606.11, 3077.80
1225.46,EAudioMood::Tense, 1, 1, 100.00, 1928.72, 2434.97
600.00,EAudioMood::Calm, 0, 0, 100.00, 655.24, 1716.45
600.00,EAudioMood::Calm, 0, 0, 100.00, 908.55, 637.00
600.00,EAudioMood::Calm, 0, 0, 80.00, 1313.79, 1311.35
603.18,EAudioMood::Calm, 1, 0, 80.00, 1110.56, 2148.18
1200.00,EAudioMood::Tense, 0, 1, 80.00, 2270.37, 2384.79
1200.00,EAudioMood::Tense, 0, 1, 80.00, 2097.99, 442.52
727.74,EAudioMood::Calm, 1, 0, 80.00, 1090.04, 1399.91
666.63,EAudioMood::Calm, 1, 0, 80.00, 2188.20, 1698.99
600.00,EAudioMood::Calm, 0, 0, 80.00, 3386.64, 1637.78
1200.00,EAudioMood::Action, 0, 1, 80.00, 4415.95, 629.35
799.99,EAudioMood::Action, 0, 1, 80.00, 4271.87, 2740.22
1207.88,EAudioMood::Action, 1, 1, 80.00, 4569.69, 574.82
1227.14,EAudioMood::Action, 1, 1, 80.00, 4593.41, 1513.60
600.00,EAudioMood::Action, 0, 0, 80.00, 4420.51, 2346.40
600.00,EAudioMood::Action, 0, 0, 80.00, 4755.33, 1206.60
600.00,EAudioMood::Calm, 0, 0, 80.00, 5409.70, 1862.13
600.00,EAudioMood::Calm, 0, 0, 80.00, 5583.68, 2996.96
1200.00,EAudioMood::Tense, 0, 1, 80.00, 5647.77, 1407.41
600.00,EAudioMood::Calm, 0, 0, 80.00, 5267.86, 746.28
600.00,EAudioMood::Calm, 0, 0, 80.00, 5443.46, 1905.92
600.00,EAudioMood::Action, 0, 0, 80.00, 4496.51, 1895.04
1200.00,EAudioMood::Action, 0, 1, 80.00, 3848.44, 1119.77
1200.00,EAudioMood::Action, 0, 1, 80.00, 3932.66, 1945.35
600.00,EAudioMood::Calm, 0, 0, 80.00, 3280.78, 1820.69
1271.77,EAudioMood::Tense, 1, 1, 80.00, 1540.59, 2937.06
1251.65,EAudioMood::Tense, 1, 1, 80.00, 391.54, 1478.43
1097.23,EAudioMood::Tense, 1, 1, 80.00, 1709.06, 584.82
600.00,EAudioMood::Calm, 0, 0, 80.00, 2023.70, 2077.11
600.00,EAudioMood::Calm, 0, 0, 80.00, 1017.99, 1539.00
600.00,EAudioMood::Calm, 0, 0, 80.00, 1001.13, 859.92
1110.86,EAudioMood::Tense, 0, 1, 60.00, 1515.98, 1414.37
528.26,EAudioMood::Calm, 0, 0, 60.00, 484.74, 3077.12
600.00,EAudioMood::Calm, 0, 0, 60.00, 1569.21, 2639.62
1200.00,EAudioMood::Tense, 0, 1, 60.00, 2748.23, 1536.57
1200.00,EAudioMood::Action, 0, 1, 60.00, 4426.32, 1475.54
1200.00,EAudioMood::Action, 0, 1, 60.00, 4697.17, 2874.99
1200.00,EAudioMood::Action, 0, 1, 60.00, 4020.12, 867.68
1200.00,EAudioMood::Action, 0, 1, 60.00, 4402.73, 1747.07
1203.62,EAudioMood::Action, 1, 1, 60.00, 3891.29, 1629.97
600.00,EAudioMood::Action, 0, 0, 60.00, 4388.23, 1581.82
600.00,EAudioMood::Calm, 0, 0, 60.00, 5063.25, 1526.18
600.00,EAudioMood::Calm, 0, 0, 60.00, 5322.26, 379.67
673.91,EAudioMood::Calm, 1, 0, 60.00, 5588.04, 1401.72
646.78,EAudioMood::Calm, 1, 0, 60.00, 5586.83, 2601.69
1200.00,EAudioMood::Tense, 0, 1, 60.00, 5682.55, 1293.07
600.00,EAudioMood::Calm, 0, 0, 60.00, 5418.04, 1591.62
600.00,EAudioMood::Action, 0, 0, 60.00, 4524.94, 1702.20
600.00,EAudioMood::Action, 0, 0, 60.00, 3708.67, 1589.69
1200.00,EAudioMood::Calm, 0, 1, 60.00, 2587.25, 2395.97
1200.00,EAudioMood::Tense, 0, 1, 60.00, 783.71, 2556.35
1200.00,EAudioMood::Tense, 0, 1, 60.00, 1043.66, 409.60
1200.00,EAudioMood::Tense, 0, 1, 60.00, 2388.64, 1869.01
1200.00,EAudioMood::Tense, 0, 1, 60.00, 708.55, 1965.26
600.00,EAudioMood::Calm, 0, 0, 60.00, 947.15, 1059.73
705.44,EAudioMood::Action, 1, 0, 40.00, 1809.72, 1086.28
681.50,EAudioMood::Action, 1, 0, 40.00, 1340.09, 1815.35
603.18,EAudioMood::Action, 1, 0, 40.00, 875.55, 798.09
1200.16,EAudioMood::Action, 1, 1, 40.00, 686.15, 2148.15
600.00,EAudioMood::Action, 0, 0, 40.00, 1213.56, 2030.51
1200.00,EAudioMood::Action, 0, 1, 40.00, 529.00, 401.66
1234.66,EAudioMood::Action, 1, 0, 40.00, 2666.96, 847.25
600.00,EAudioMood::Action, 0, 0, 40.00, 3858.90, 711.37
600.00,EAudioMood::Action, 0, 0, 40.00, 4463.50, 1391.69
600.00,EAudioMood::Action, 0, 0, 40.00, 4029.56, 2465.06
701.18,EAudioMood::Action, 1, 0, 40.00, 4199.70, 2314.29
673.37,EAudioMood::Action, 1, 0, 40.00, 4088.90, 1119.41
1200.00,EAudioMood::Action, 0, 1, 40.00, 3941.13, 1707.49
1200.00,EAudioMood::Action, 0, 1, 40.00, 5352.12, 1373.68
600.00,EAudioMood::Action, 0, 0, 40.00, 5663.91, 1250.76
603.93,EAudioMood::Action, 1, 0, 40.00, 5477.38, 2430.96
600.00,EAudioMood::Action, 0, 0, 40.00, 5529.11, 1816.77
1200.00,EAudioMood::Action, 0, 1, 40.00, 5020.51, 669.18
1210.44,EAudioMood::Action, 1, 1, 40.00, 3235.65, 1935.24
600.00,EAudioMood::Action, 0, 0, 40.00, 2010.86, 1449.30
600.00,EAudioMood::Action, 0, 0, 20.00, 1910.99, 527.54
600.00,EAudioMood::Action, 0, 0, 20.00, 2296.60, 1131.55
600.00,EAudioMood::Action, 0, 0, 20.00, 1193.06, 1234.04
600.00,EAudioMood::Action, 0, 0, 20.00, 431.46, 973.15
600.00,EAudioMood::Action, 0, 0, 20.00, 541.97, 2156.39
600.00,EAudioMood::Action, 0, 0, 20.00, 1272.17, 2292.54
1200.00,EAudioMood::Action, 0, 1, 20.00, 667.27, 659.72
1269.08,EAudioMood::Action, 1, 1, 20.00, 2960.21, 802.31
600.00,EAudioMood::Action, 0, 0, 20.00, 3952.99, 825.22
600.00,EAudioMood::Action, 0, 0, 20.00, 4295.52, 1589.28
600.00,EAudioMood::Action, 0, 0, 20.00, 4034.88, 2760.31
600.00,EAudioMood::Action, 0, 0, 20.00, 4442.27, 2373.28
600.00,EAudioMood::Action, 0, 0, 20.00, 5288.22, 2845.79
600.00,EAudioMood::Action, 0, 0, 20.00, 5533.45, 1731.35
48.16,EAudioMood::Action, 0, 0, 20.00, 5505.51, 592.05
625.00,EAudioMood::Action, 1, 0, 20.00, 5440.25, 1713.15
600.00,EAudioMood::Action, 0, 0, 20.00, 4627.51, 2256.28
1200.00,EAudioMood::Action, 0, 1, 20.00, 3523.94, 775.95
1242.76,EAudioMood::Action, 1, 1, 20.00, 1821.42, 2453.36
1263.50,EAudioMood::Action, 1, 1, 20.00, 3095.77, 1825.41
1200.00,EAudioMood::Action, 0, 1, 20.00, 5295.58, 1162.79
1206.60,EAudioMood::Action, 1, 1, 20.00, 5457.50, 952.69
826.88,EAudioMood::Action, 1, 1, 20.00, 4983.69, 2891.76
1200.86,EAudioMood::Action, 1, 0, 20.00, 2861.98, 2645.88
0.00,EAudioMood::Calm, 0, 0, 100.00, 900.00, 850.00
600.00,EAudioMood::Calm, 0, 0, 100.00, 1082.30, 1446.50
600.00,EAudioMood::Calm, 0, 0, 100.00, 423.50, 2436.00
600.00,EAudioMood::Calm, 0, 0, 100.00, 1242.02, 3065.83
1200.00,EAudioMood::Tense, 0, 1, 100.00, 2424.86, 1796.85
1200.00,EAudioMood::Tense, 0, 1, 100.00, 1432.55, 285.76
1200.00,EAudioMood::Tense, 0, 1, 100.00, 389.76, 1895.75
1200.00,EAudioMood::Tense, 0, 1, 100.00, 2173.48, 1376.13
600.00,EAudioMood::Action, 0, 0, 100.00, 3550.84, 706.68
856.00,EAudioMood::Action, 0, 1, 100.00, 4039.15, 1412.67
1200.00,EAudioMood::Action, 0, 1, 100.00, 4532.98, 2812.25
1200.00,EAudioMood::Action, 0, 1, 100.00, 4195.28, 536.92
1200.00,EAudioMood::Action, 0, 1, 100.00, 4002.78, 2242.14
