PlayerVelocity,CurrentMood, Jumping, Sprinting, Health,Velocity,IsJumping,IsSprinting,Health,Mood
600.0,EAudioMood::Calm,0.0,0.0,100.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,80.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,80.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,100.0,,,,,
466.43,EAudioMood::Calm,0.0,0.0,100.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,80.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,80.0,,,,,
237.49,EAudioMood::Calm,0.0,0.0,100.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,100.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,100.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,100.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,100.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,100.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,100.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,80.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,80.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,80.0,,,,,
719.27,EAudioMood::Action,1.0,0.0,80.0,,,,,
723.15,EAudioMood::Action,1.0,0.0,80.0,,,,,
618.87,EAudioMood::Action,1.0,0.0,80.0,,,,,
669.71,EAudioMood::Calm,1.0,0.0,80.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,80.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,80.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,80.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,80.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,60.0,,,,,
1244.59,EAudioMood::Tense,1.0,1.0,60.0,,,,,
1271.77,EAudioMood::Tense,1.0,1.0,60.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,60.0,,,,,
0.0,EAudioMood::Calm,0.0,0.0,100.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,100.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,100.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,100.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,100.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,100.0,,,,,
0.0,EAudioMood::Action,0.0,0.0,100.0,,,,,
52.5,EAudioMood::Action,1.0,0.0,100.0,,,,,
224.0,EAudioMood::Action,1.0,0.0,100.0,,,,,
413.01,EAudioMood::Action,1.0,0.0,100.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,100.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,100.0,,,,,
0.0,EAudioMood::Action,0.0,0.0,100.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,100.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,100.0,,,,,
560.14,EAudioMood::Calm,0.0,0.0,100.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,100.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,100.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,100.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,100.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,100.0,,,,,
301.96,EAudioMood::Tense,0.0,1.0,100.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,100.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,100.0,,,,,
1119.91,EAudioMood::Tense,0.0,1.0,100.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,80.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,80.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,80.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,80.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,80.0,,,,,
0.0,EAudioMood::Action,0.0,0.0,80.0,,,,,
0.0,EAudioMood::Action,0.0,0.0,80.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,80.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,80.0,,,,,
0.0,EAudioMood::Action,0.0,0.0,80.0,,,,,
0.0,EAudioMood::Action,0.0,0.0,80.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,80.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,80.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,80.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,80.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,80.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,80.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,60.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,60.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,60.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,60.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,60.0,,,,,
0.0,EAudioMood::Calm,0.0,0.0,60.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,60.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,60.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,60.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,60.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,60.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,60.0,,,,,
620.93,EAudioMood::Calm,1.0,0.0,60.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,60.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,60.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,60.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,60.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,60.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,60.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,60.0,,,,,
0.0,EAudioMood::Action,0.0,0.0,60.0,,,,,
0.0,EAudioMood::Action,0.0,0.0,60.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,60.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,60.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,60.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,60.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,60.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,60.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,60.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,40.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,40.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,40.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,40.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,40.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,40.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,40.0,,,,,
1200.0,EAudioMood::Action,0.0,1.0,40.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,40.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,40.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,40.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,40.0,,,,,
0.0,EAudioMood::Action,0.0,0.0,40.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,100.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,100.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,100.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,100.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,100.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,100.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,100.0,,,,,
1266.07,EAudioMood::Tense,1.0,1.0,100.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,100.0,,,,,
919.94,EAudioMood::Tense,0.0,1.0,100.0,,,,,
894.27,EAudioMood::Tense,0.0,1.0,100.0,,,,,
1203.02,EAudioMood::Tense,1.0,1.0,100.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,100.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,100.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,80.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,80.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,80.0,,,,,
614.82,EAudioMood::Action,1.0,0.0,80.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,80.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,80.0,,,,,
600.0,EAudioMood::Action,0.0,0.0,80.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,80.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,80.0,,,,,
1200.0,EAudioMood::Tense,0.0,1.0,80.0,,,,,
600.0,EAudioMood::Calm,0.0,0.0,60.0,,,,,
